brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
hyundai,new,automatic,0.0,petrol,,3295.0,1.0,974000.0,,,,,
mahindra,kuv,manual,4.0,petrol,1198.0,19376.0,1.0,474000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,31760.0,1.0,556000.0,,,,,
mahindra,xuv700,manual,3.0,petrol,1997.0,37303.0,1.0,1473000.0,,,,,
maruti,baleno,manual,2.0,petrol,1197.0,25782.0,1.0,657000.0,,,,,
hyundai,venue,manual,2.0,petrol,1197.0,25523.0,1.0,909000.0,,,,,
hyundai,creta,manual,2.0,petrol,1497.0,19352.0,1.0,1103000.0,,,,,
honda,city,manual,3.0,petrol,1498.0,28398.0,1.0,1078000.0,,,,,
maruti,dzire,manual,7.0,petrol,1197.0,22148.0,1.0,467000.0,,,,,
hyundai,verna,manual,11.0,petrol,1591.0,75331.0,1.0,378000.0,,,,,
honda,amaze,manual,4.0,petrol,1199.0,52036.0,1.0,573000.0,,,,,
maruti,swift,manual,2.0,petrol,1197.0,24626.0,1.0,757000.0,,,,,
maruti,vitara,automatic,5.0,diesel,1248.0,86677.0,1.0,632000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,18222.0,1.0,614000.0,,,,,
honda,city,manual,3.0,petrol,1498.0,5404.0,1.0,1251000.0,,,,,
maruti,baleno,manual,4.0,petrol,1197.0,72471.0,2.0,572000.0,,,,,
renault,kwid,automatic,7.0,petrol,999.0,47819.0,2.0,292000.0,,,,,
volkswagen,ameo,manual,6.0,petrol,999.0,40904.0,1.0,471000.0,,,,,
maruti,celerio,manual,2.0,petrol,998.0,12708.0,1.0,494000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,36341.0,1.0,551000.0,,,,,
maruti,ignis,manual,2.0,petrol,1197.0,17745.0,1.0,525000.0,,,,,
nissan,magnite,manual,3.0,petrol,999.0,30455.0,1.0,522000.0,,,,,
hyundai,grand,manual,6.0,petrol,1197.0,40398.0,1.0,396000.0,,,,,
maruti,wagon,manual,7.0,petrol,998.0,60446.0,1.0,350000.0,,,,,
renault,kwid,manual,8.0,petrol,999.0,20709.0,1.0,262000.0,,,,,
honda,city,manual,7.0,petrol,1497.0,78608.0,1.0,578000.0,,,,,
datsun,redi,manual,6.0,petrol,799.0,84695.0,1.0,207000.0,,,,,
maruti,wagon,manual,6.0,cng,998.0,56257.0,1.0,367000.0,,,,,
maruti,swift,manual,6.0,petrol,1197.0,27356.0,2.0,569000.0,,,,,
maruti,ciaz,manual,5.0,diesel,1498.0,61329.0,1.0,702000.0,,,,,
hyundai,venue,manual,4.0,diesel,1396.0,46446.0,1.0,734000.0,,,,,
renault,kwid,automatic,7.0,petrol,999.0,41308.0,3.0,285000.0,,,,,
